# Total ETC (Gibbs Best OBJ): 1.6439773924773888
Time;Task-ID;Device;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
297595;Task-0;Device-1;POLICY2_MEC;TASK_CONCLUDED;170769;35116;247061;8010;215722
331079;Task-1;Device-0;POLICY2_MEC;TASK_CONCLUDED;161063;35116;233020;8010;205150
420032;Task-2;Device-1;POLICY2_MEC;TASK_CONCLUDED;79092;35116;114427;8010;115854
443497;Task-3;Device-0;POLICY2_MEC;TASK_CONCLUDED;72166;35116;104408;8010;108310
655465;Task-4;Device-1;POLICY2_MEC;TASK_CONCLUDED;157195;35116;227423;8010;200936
754241;Task-5;Device-0;POLICY2_MEC;TASK_CONCLUDED;209250;35116;302734;8010;257642
796922;Task-6;Device-1;POLICY2_MEC;TASK_CONCLUDED;92239;35116;133447;8010;130176
866237;Task-7;Device-0;POLICY2_MEC;TASK_CONCLUDED;71875;35116;103986;8010;107993
968422;Task-8;Device-1;POLICY2_MEC;TASK_CONCLUDED;113004;35116;163490;8010;152797
1138832;Task-9;Device-0;POLICY2_MEC;TASK_CONCLUDED;182881;35116;264585;8010;228917
1284219;Task-10;Device-1;POLICY2_MEC;TASK_CONCLUDED;212742;35116;307787;8010;261446
1301730;Task-11;Device-0;POLICY2_MEC;TASK_CONCLUDED;107059;35116;154888;8010;146320
1448819;Task-13;Device-0;POLICY2_MEC;TASK_CONCLUDED;96131;35116;139079;8010;134416
1546365;Task-12;Device-1;POLICY2_MEC;TASK_CONCLUDED;175659;35116;254136;8010;221050
1627211;Task-14;Device-1;POLICY2_MEC;TASK_CONCLUDED;50344;35116;72836;8010;84538
1661706;Task-15;Device-0;POLICY2_MEC;TASK_CONCLUDED;141611;35116;204877;8010;183959
1718314;Task-16;Device-1;POLICY2_MEC;TASK_CONCLUDED;57433;35116;83093;8010;92261
1797526;Task-18;Device-1;POLICY2_MEC;TASK_CONCLUDED;49215;35116;71202;8010;83307
1947938;Task-17;Device-0;POLICY2_MEC;TASK_CONCLUDED;192307;35116;278222;8010;239185
2060108;Task-20;Device-1;POLICY2_MEC;TASK_CONCLUDED;175960;35116;254572;8010;221378
2158633;Task-19;Device-0;POLICY2_MEC;TASK_CONCLUDED;140096;35116;202685;8010;182309
2268459;Task-22;Device-1;POLICY2_MEC;TASK_CONCLUDED;138475;35116;200341;8010;180544
2364139;Task-21;Device-0;POLICY2_MEC;TASK_CONCLUDED;136509;35116;197496;8010;178402
2627110;Task-23;Device-0;POLICY2_MEC;TASK_CONCLUDED;176229;35116;254961;8010;221671
2765127;Task-25;Device-0;POLICY2_MEC;TASK_CONCLUDED;89861;35116;130007;8010;127586
2922071;Task-27;Device-0;POLICY2_MEC;TASK_CONCLUDED;102943;35116;148934;8010;141837
3172659;Task-29;Device-0;POLICY2_MEC;TASK_CONCLUDED;167670;35116;242578;8010;212347
3289693;Task-31;Device-0;POLICY2_MEC;TASK_CONCLUDED;75357;35116;109024;8010;111786
3574192;Task-33;Device-0;POLICY2_MEC;TASK_CONCLUDED;191109;35116;276489;8010;237880
3715757;Task-35;Device-0;POLICY2_MEC;TASK_CONCLUDED;92313;35116;133555;8010;130257
3878076;Task-37;Device-0;POLICY2_MEC;TASK_CONCLUDED;106658;35116;154309;8010;145884
4052437;Task-39;Device-0;POLICY2_MEC;TASK_CONCLUDED;114982;35116;166351;8010;154951
4339099;Task-41;Device-0;POLICY2_MEC;TASK_CONCLUDED;192604;35116;278652;8010;239509
4627833;Task-43;Device-0;POLICY2_MEC;TASK_CONCLUDED;194036;35116;280724;8010;241069
4741357;Task-45;Device-0;POLICY2_MEC;TASK_CONCLUDED;72931;35116;105514;8010;109143
4822803;Task-47;Device-0;POLICY2_MEC;TASK_CONCLUDED;50759;35116;73436;8010;84990
5001566;Task-49;Device-0;POLICY2_MEC;TASK_CONCLUDED;118024;35116;170753;8010;158266
5036191;Task-24;Device-1;POLICY2_MEC;TASK_CONCLUDED;18396;35116;26615;8010;49735
5319836;Task-26;Device-1;POLICY2_MEC;TASK_CONCLUDED;190519;35116;275635;8010;237237
5652957;Task-28;Device-1;POLICY2_MEC;TASK_CONCLUDED;224716;35116;325111;8010;274491
5829815;Task-30;Device-1;POLICY2_MEC;TASK_CONCLUDED;116708;35116;168848;8010;156831
6155280;Task-32;Device-1;POLICY2_MEC;TASK_CONCLUDED;219425;35116;317455;8010;268726
6381560;Task-34;Device-1;POLICY2_MEC;TASK_CONCLUDED;150868;35116;218270;8010;194044
6520317;Task-36;Device-1;POLICY2_MEC;TASK_CONCLUDED;90372;35116;130747;8010;128142
6689810;Task-38;Device-1;POLICY2_MEC;TASK_CONCLUDED;111617;35116;161483;8010;151286
6863010;Task-40;Device-1;POLICY2_MEC;TASK_CONCLUDED;114179;35116;165190;8010;154077
6935513;Task-42;Device-1;POLICY2_MEC;TASK_CONCLUDED;44577;35116;64493;8010;78256
7105953;Task-44;Device-1;POLICY2_MEC;TASK_CONCLUDED;112271;35116;162430;8010;151998
7192684;Task-46;Device-1;POLICY2_MEC;TASK_CONCLUDED;54412;35116;78721;8010;88969
7491494;Task-48;Device-1;POLICY2_MEC;TASK_CONCLUDED;201001;35116;290800;8010;248656
