Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
198919;Task-9;POLICY2_MEC;TASK_CONCLUDED;32646;801541;8396;182828;705594
261751;Task-104;POLICY2_MEC;TASK_CONCLUDED;12337;640909;13427;146188;554520
264521;Task-29;POLICY2_MEC;TASK_CONCLUDED;40322;989995;10370;225814;871491
270311;Task-19;POLICY2_MEC;TASK_CONCLUDED;44121;1083282;11348;247092;953611
278489;Task-102;POLICY2_MEC;TASK_CONCLUDED;13714;712438;14926;162504;616408
289309;Task-79;POLICY2_MEC;TASK_CONCLUDED;36242;889846;9321;202970;783329
321844;Task-39;POLICY2_MEC;TASK_CONCLUDED;48396;1188226;12447;271029;1045993
332538;Task-103;POLICY2_MEC;TASK_CONCLUDED;17844;926937;19420;211430;801995
371182;Task-49;POLICY2_MEC;TASK_CONCLUDED;55584;1364704;14296;311283;1201347
374179;Task-105;POLICY2_MEC;TASK_CONCLUDED;20885;1084911;22730;247463;938676
375452;Task-100;POLICY2_MEC;TASK_CONCLUDED;21269;1104830;23147;252007;955910
382509;Task-101;POLICY2_MEC;TASK_CONCLUDED;21762;1130428;23684;257846;978058
412983;Task-59;POLICY2_MEC;TASK_CONCLUDED;61229;1503304;15748;342897;1323356
416304;Task-108;POLICY2_MEC;TASK_CONCLUDED;23935;1243331;26049;283598;1075742
417866;Task-117;POLICY3_CLOUD;TASK_CONCLUDED;51679;1218477;3731;303325;1077537
429616;Task-200;POLICY2_MEC;TASK_CONCLUDED;17726;920784;19291;210027;796671
440077;Task-135;POLICY3_CLOUD;TASK_CONCLUDED;51179;1206689;3695;300391;1067112
450558;Task-273;POLICY2_MEC;TASK_CONCLUDED;13908;722505;15137;164800;625118
451692;Task-147;POLICY3_CLOUD;TASK_CONCLUDED;51614;1216937;3726;302942;1076174
454382;Task-116;POLICY3_CLOUD;TASK_CONCLUDED;57835;1363607;4175;339454;1205880
462508;Task-99;POLICY2_MEC;TASK_CONCLUDED;62257;1528522;16012;348649;1345556
472029;Task-113;POLICY3_CLOUD;TASK_CONCLUDED;61070;1439874;4409;358439;1273325
475338;Task-172;POLICY3_CLOUD;TASK_CONCLUDED;51362;1211002;3708;301464;1070926
477585;Task-136;POLICY3_CLOUD;TASK_CONCLUDED;57297;1350931;4137;336298;1194670
