# Total ETC (Gibbs Best OBJ): 10.952469877249403
Time;Task-ID;Device;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
139887982;Task-1;Device-0;POLICY1_IOT;TASK_CONCLUDED;996583;0;139812459;0;28759758
148269912;Task-0;Device-1;POLICY1_IOT;TASK_CONCLUDED;1056634;0;148237099;0;30492727
202532895;Task-3;Device-0;POLICY1_IOT;TASK_CONCLUDED;446532;0;62644913;0;12886208
216926608;Task-2;Device-1;POLICY1_IOT;TASK_CONCLUDED;489384;0;68656696;0;14122847
353380908;Task-4;Device-1;POLICY1_IOT;TASK_CONCLUDED;972646;0;136454300;0;28068977
384173625;Task-5;Device-0;POLICY1_IOT;TASK_CONCLUDED;1294735;0;181640730;0;37363934
433449661;Task-6;Device-1;POLICY1_IOT;TASK_CONCLUDED;570730;0;80068753;0;16470334
446565758;Task-7;Device-0;POLICY1_IOT;TASK_CONCLUDED;444731;0;62392133;0;12834211
531543840;Task-8;Device-1;POLICY1_IOT;TASK_CONCLUDED;699215;0;98094179;0;20178208
605317095;Task-9;Device-0;POLICY1_IOT;TASK_CANCELED;1131579;0;158751337;0;32655531
698250380;Task-11;Device-0;POLICY1_IOT;TASK_CONCLUDED;662428;0;92933285;0;19116599
716216118;Task-10;Device-1;POLICY1_IOT;TASK_CONCLUDED;1316343;0;184672278;0;37987530
778489459;Task-13;Device-0;POLICY2_MEC;TASK_CONCLUDED;96131;309520177;139079;80100000;263740862
858794336;Task-15;Device-0;POLICY2_MEC;TASK_CONCLUDED;141611;309520177;204877;80100000;263790406
868698292;Task-12;Device-1;POLICY1_IOT;TASK_CONCLUDED;1086892;0;152482174;0;31365949
912400202;Task-14;Device-1;POLICY1_IOT;TASK_CONCLUDED;311507;0;43701910;0;8989587
939172558;Task-17;Device-0;POLICY2_MEC;TASK_CONCLUDED;192307;309520177;278222;80100000;263845632
962256040;Task-16;Device-1;POLICY1_IOT;TASK_CONCLUDED;355372;0;49855838;0;10255465
1004977448;Task-18;Device-1;POLICY1_IOT;TASK_CONCLUDED;304518;0;42721408;0;8787896
1019475243;Task-19;Device-0;POLICY2_MEC;TASK_CANCELED;140096;309520177;202685;80100000;263788755
1099772739;Task-21;Device-0;POLICY2_MEC;TASK_CONCLUDED;136509;309520177;197496;80100000;263784848
1157720725;Task-20;Device-1;POLICY1_IOT;TASK_CONCLUDED;1088754;0;152743277;0;31419658
1180127700;Task-23;Device-0;POLICY2_MEC;TASK_CONCLUDED;176229;309520177;254961;80100000;263828117
1260357707;Task-25;Device-0;POLICY2_MEC;TASK_CONCLUDED;89861;309520177;130007;80100000;263734032
1277925453;Task-22;Device-1;POLICY1_IOT;TASK_CONCLUDED;856819;0;120204728;0;24726401
1340606641;Task-27;Device-0;POLICY2_MEC;TASK_CONCLUDED;102943;309520177;148934;80100000;263748283
1420949219;Task-29;Device-0;POLICY2_MEC;TASK_CANCELED;167670;309520177;242578;80100000;263818793
1501158243;Task-31;Device-0;POLICY2_MEC;TASK_CONCLUDED;75357;309520177;109024;80100000;263718232
1581534732;Task-33;Device-0;POLICY2_MEC;TASK_CONCLUDED;191109;309520177;276489;80100000;263844326
1661768287;Task-35;Device-0;POLICY2_MEC;TASK_CONCLUDED;92313;309520177;133555;80100000;263736703
1742022596;Task-37;Device-0;POLICY2_MEC;TASK_CONCLUDED;106658;309520177;154309;80100000;263752330
1822288947;Task-39;Device-0;POLICY2_MEC;TASK_CANCELED;114982;309520177;166351;80100000;263761397
1902667599;Task-41;Device-0;POLICY2_MEC;TASK_CONCLUDED;192604;309520177;278652;80100000;263845955
1983048323;Task-43;Device-0;POLICY2_MEC;TASK_CONCLUDED;194036;309520177;280724;80100000;263847515
2063253837;Task-45;Device-0;POLICY2_MEC;TASK_CONCLUDED;72931;309520177;105514;80100000;263715589
2143427273;Task-47;Device-0;POLICY2_MEC;TASK_CONCLUDED;50759;309520177;73436;80100000;263691436
2223698026;Task-49;Device-0;POLICY2_MEC;TASK_CANCELED;118024;309520177;170753;80100000;263764712
2239667491;Task-24;Device-1;POLICY1_IOT;TASK_CONCLUDED;113830;0;15969465;0;3284957
2320043126;Task-26;Device-1;POLICY2_MEC;TASK_CONCLUDED;190519;309520177;275635;80100000;263843684
2400468237;Task-28;Device-1;POLICY2_MEC;TASK_CONCLUDED;224716;309520177;325111;80100000;263880937
2480737085;Task-30;Device-1;POLICY2_MEC;TASK_CONCLUDED;116708;309520177;168848;80100000;263763277
2561154540;Task-32;Device-1;POLICY2_MEC;TASK_CONCLUDED;219425;309520177;317455;80100000;263875173
2641472810;Task-34;Device-1;POLICY2_MEC;TASK_CONCLUDED;150868;309520177;218270;80100000;263800490
2721703557;Task-36;Device-1;POLICY2_MEC;TASK_CONCLUDED;90372;309520177;130747;80100000;263734589
2801965040;Task-38;Device-1;POLICY2_MEC;TASK_CONCLUDED;111617;309520177;161483;80100000;263757732
2882230230;Task-40;Device-1;POLICY2_MEC;TASK_CONCLUDED;114179;309520177;165190;80100000;263760523
2962394723;Task-42;Device-1;POLICY2_MEC;TASK_CONCLUDED;44577;309520177;64493;80100000;263684702
3042657153;Task-44;Device-1;POLICY2_MEC;TASK_CONCLUDED;112271;309520177;162430;80100000;263758445
3122835874;Task-46;Device-1;POLICY2_MEC;TASK_CONCLUDED;54412;309520177;78721;80100000;263695416
3203226674;Task-48;Device-1;POLICY2_MEC;TASK_CONCLUDED;201001;309520177;290800;80100000;263855102
