Time;Task-ID;Device;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
23742240;Task-1;Device-0;POLICY1_IOT;TASK_CONCLUDED;168680;0;23664469;0;4867838
24581252;Task-0;Device-1;POLICY1_IOT;TASK_CONCLUDED;175001;0;24551273;0;5050255
39283809;Task-3;Device-0;POLICY1_IOT;TASK_CONCLUDED;110780;0;15541569;0;3196938
40755641;Task-2;Device-1;POLICY1_IOT;TASK_CONCLUDED;115291;0;16174389;0;3327110
64066620;Task-4;Device-1;POLICY1_IOT;TASK_CONCLUDED;166160;0;23310979;0;4795124
67351254;Task-5;Device-0;POLICY1_IOT;TASK_CONCLUDED;200064;0;28067445;0;5773540
81442278;Task-6;Device-1;POLICY1_IOT;TASK_CONCLUDED;123853;0;17375658;0;3574214
82866215;Task-7;Device-0;POLICY1_IOT;TASK_CONCLUDED;110590;0;15514961;0;3191464
100715349;Task-8;Device-1;POLICY1_IOT;TASK_CONCLUDED;137378;0;19273071;0;3964516
108524250;Task-9;Device-0;POLICY1_IOT;TASK_CANCELED;182890;0;25658035;0;5277919
127254069;Task-11;Device-0;POLICY1_IOT;TASK_CONCLUDED;133506;0;18729819;0;3852768
129101904;Task-10;Device-1;POLICY1_IOT;TASK_CONCLUDED;202339;0;28386555;0;5839182
144985406;Task-13;Device-0;POLICY1_IOT;TASK_CONCLUDED;126388;0;17731337;0;3647378
154100027;Task-12;Device-1;POLICY1_IOT;TASK_CONCLUDED;178186;0;24998123;0;5142173
166872404;Task-15;Device-0;POLICY1_IOT;TASK_CONCLUDED;156010;0;21886998;0;4502208
167647596;Task-14;Device-1;POLICY1_IOT;TASK_CONCLUDED;96567;0;13547569;0;2786767
181842947;Task-16;Device-1;POLICY1_IOT;TASK_CONCLUDED;101184;0;14195351;0;2920017
193391721;Task-17;Device-0;POLICY1_IOT;TASK_CONCLUDED;189029;0;26519317;0;5455087
195287305;Task-18;Device-1;POLICY1_IOT;TASK_CONCLUDED;95831;0;13444358;0;2765536
215140268;Task-19;Device-0;POLICY1_IOT;TASK_CANCELED;155023;0;21748547;0;4473728
220312913;Task-20;Device-1;POLICY1_IOT;TASK_CONCLUDED;178382;0;25025608;0;5147827
236561074;Task-21;Device-0;POLICY1_IOT;TASK_CONCLUDED;152687;0;21420806;0;4406311
241913410;Task-22;Device-1;POLICY1_IOT;TASK_CONCLUDED;153968;0;21600497;0;4443274
252541774;Task-24;Device-1;POLICY1_IOT;TASK_CONCLUDED;75758;0;10628364;0;2186279
261611272;Task-23;Device-0;POLICY1_IOT;TASK_CONCLUDED;178557;0;25050198;0;5152885
278769670;Task-25;Device-0;POLICY1_IOT;TASK_CONCLUDED;122305;0;17158398;0;3529523
278897712;Task-26;Device-1;POLICY1_IOT;TASK_CONCLUDED;187865;0;26355938;0;5421479
297123420;Task-27;Device-0;POLICY1_IOT;TASK_CONCLUDED;130825;0;18353750;0;3775410
308378425;Task-28;Device-1;POLICY1_IOT;TASK_CONCLUDED;210138;0;29480713;0;6064253
321391545;Task-29;Device-0;POLICY1_IOT;TASK_CANCELED;172983;0;24268125;0;4992011
327989915;Task-30;Device-1;POLICY1_IOT;TASK_CONCLUDED;139790;0;19611490;0;4034130
337224674;Task-31;Device-0;POLICY1_IOT;TASK_CONCLUDED;112858;0;15833129;0;3256912
356987117;Task-32;Device-1;POLICY1_IOT;TASK_CONCLUDED;206692;0;28997202;0;5964794
363634510;Task-33;Device-0;POLICY1_IOT;TASK_CONCLUDED;188249;0;26409836;0;5432566
379720007;Task-34;Device-1;POLICY1_IOT;TASK_CONCLUDED;162040;0;22732890;0;4676210
381016939;Task-35;Device-0;POLICY1_IOT;TASK_CONCLUDED;123901;0;17382429;0;3575607
396925104;Task-36;Device-1;POLICY1_IOT;TASK_CONCLUDED;122637;0;17205097;0;3539129
399710160;Task-37;Device-0;POLICY1_IOT;TASK_CONCLUDED;133245;0;18693221;0;3845240
416071445;Task-38;Device-1;POLICY1_IOT;TASK_CONCLUDED;136475;0;19146341;0;3938448
419163928;Task-39;Device-0;POLICY1_IOT;TASK_CANCELED;138666;0;19453768;0;4001686
435451895;Task-40;Device-1;POLICY1_IOT;TASK_CONCLUDED;138143;0;19380450;0;3986605
445710376;Task-41;Device-0;POLICY1_IOT;TASK_CONCLUDED;189223;0;26546448;0;5460668
448472526;Task-42;Device-1;POLICY1_IOT;TASK_CONCLUDED;92811;0;13020631;0;2678375
467678653;Task-44;Device-1;POLICY1_IOT;TASK_CONCLUDED;136901;0;19206127;0;3950746
472387700;Task-43;Device-0;POLICY1_IOT;TASK_CONCLUDED;190155;0;26677324;0;5487589
481597937;Task-46;Device-1;POLICY1_IOT;TASK_CONCLUDED;99216;0;13919284;0;2863230
487999139;Task-45;Device-0;POLICY1_IOT;TASK_CONCLUDED;111278;0;15611439;0;3211310
501584607;Task-47;Device-0;POLICY1_IOT;TASK_CONCLUDED;96837;0;13585468;0;2794563
508911672;Task-48;Device-1;POLICY1_IOT;TASK_CONCLUDED;194692;0;27313735;0;5618500
521316420;Task-49;Device-0;POLICY1_IOT;TASK_CANCELED;140648;0;19731813;0;4058881
527331106;Task-50;Device-1;POLICY1_IOT;TASK_CONCLUDED;131293;0;18419434;0;3788921
543973815;Task-51;Device-0;POLICY1_IOT;TASK_CONCLUDED;161501;0;22657395;0;4660680
551328278;Task-52;Device-1;POLICY1_IOT;TASK_CONCLUDED;171051;0;23997172;0;4936275
560280384;Task-53;Device-0;POLICY1_IOT;TASK_CONCLUDED;116233;0;16306569;0;3354300
572760684;Task-54;Device-1;POLICY1_IOT;TASK_CONCLUDED;152770;0;21432406;0;4408697
577700629;Task-55;Device-0;POLICY1_IOT;TASK_CONCLUDED;124171;0;17420245;0;3583386
600196975;Task-56;Device-1;POLICY1_IOT;TASK_CONCLUDED;195565;0;27436291;0;5643710
603815247;Task-57;Device-0;POLICY1_IOT;TASK_CONCLUDED;186144;0;26114618;0;5371839
621302434;Task-59;Device-0;POLICY1_IOT;TASK_CANCELED;124648;0;17487187;0;3597156
622521248;Task-58;Device-1;POLICY1_IOT;TASK_CONCLUDED;159127;0;22324273;0;4592156
646466222;Task-60;Device-1;POLICY1_IOT;TASK_CONCLUDED;170679;0;23944974;0;4925538
649474725;Task-61;Device-0;POLICY1_IOT;TASK_CONCLUDED;200812;0;28172291;0;5795107
660389163;Task-62;Device-1;POLICY1_IOT;TASK_CONCLUDED;99242;0;13922941;0;2863982
675657221;Task-63;Device-0;POLICY1_IOT;TASK_CONCLUDED;186628;0;26182496;0;5385802
682947828;Task-64;Device-1;POLICY1_IOT;TASK_CONCLUDED;160798;0;22558665;0;4640371
694925206;Task-65;Device-0;POLICY1_IOT;TASK_CONCLUDED;137342;0;19267985;0;3963470
699059411;Task-66;Device-1;POLICY1_IOT;TASK_CONCLUDED;114843;0;16111583;0;3314191
715723394;Task-67;Device-0;POLICY1_IOT;TASK_CONCLUDED;148249;0;20798188;0;4278237
721761631;Task-68;Device-1;POLICY1_IOT;TASK_CONCLUDED;161821;0;22702220;0;4669901
728248550;Task-69;Device-0;POLICY1_IOT;TASK_CANCELED;89279;0;12525156;0;2576454
738794833;Task-71;Device-0;POLICY1_IOT;TASK_CONCLUDED;75173;0;10546283;0;2169395
741708168;Task-70;Device-1;POLICY1_IOT;TASK_CONCLUDED;142178;0;19946537;0;4103050
752437858;Task-72;Device-1;POLICY1_IOT;TASK_CONCLUDED;76481;0;10729690;0;2207122
758471710;Task-73;Device-0;POLICY1_IOT;TASK_CONCLUDED;140256;0;19676877;0;4047580
775538925;Task-74;Device-1;POLICY1_IOT;TASK_CONCLUDED;164664;0;23101067;0;4751944
776387035;Task-75;Device-0;POLICY1_IOT;TASK_CONCLUDED;127700;0;17915325;0;3685225
794079251;Task-77;Device-0;POLICY1_IOT;TASK_CONCLUDED;126110;0;17692216;0;3639331
804342374;Task-76;Device-1;POLICY1_IOT;TASK_CONCLUDED;205310;0;28803449;0;5924938
819488563;Task-79;Device-0;POLICY1_IOT;TASK_CANCELED;181117;0;25409312;0;5226756
827267013;Task-78;Device-1;POLICY1_IOT;TASK_CONCLUDED;163406;0;22924639;0;4715653
841465303;Task-81;Device-0;POLICY1_IOT;TASK_CONCLUDED;156650;0;21976740;0;4520668
853007005;Task-83;Device-0;POLICY1_IOT;TASK_CONCLUDED;82269;0;11541702;0;2374155
855147868;Task-80;Device-1;POLICY1_IOT;TASK_CONCLUDED;198734;0;27880855;0;5735158
868583451;Task-85;Device-0;POLICY1_IOT;TASK_CONCLUDED;111028;0;15576446;0;3204112
884668557;Task-82;Device-1;POLICY1_IOT;TASK_CONCLUDED;210423;0;29520689;0;6072476
886060173;Task-87;Device-0;POLICY1_IOT;TASK_CONCLUDED;124574;0;17476722;0;3595003
902706657;Task-89;Device-0;POLICY1_IOT;TASK_CANCELED;118656;0;16646484;0;3424221
910170970;Task-84;Device-1;POLICY1_IOT;TASK_CONCLUDED;181781;0;25502413;0;5245907
921561375;Task-91;Device-0;POLICY1_IOT;TASK_CONCLUDED;134396;0;18854718;0;3878460
938155076;Task-86;Device-1;POLICY1_IOT;TASK_CONCLUDED;199470;0;27984106;0;5756397
946464441;Task-93;Device-0;POLICY1_IOT;TASK_CONCLUDED;177509;0;24903066;0;5122620
956781267;Task-88;Device-1;POLICY1_IOT;TASK_CONCLUDED;132767;0;18626191;0;3831452
972572255;Task-95;Device-0;POLICY1_IOT;TASK_CONCLUDED;186096;0;26107814;0;5370439
973084216;Task-90;Device-1;POLICY1_IOT;TASK_CONCLUDED;116207;0;16302949;0;3353555
984431191;Task-97;Device-0;POLICY1_IOT;TASK_CONCLUDED;84530;0;11858936;0;2439411
985013234;Task-92;Device-1;POLICY1_IOT;TASK_CONCLUDED;85030;0;11929018;0;2453827
998430428;Task-94;Device-1;POLICY1_IOT;TASK_CONCLUDED;95637;0;13417194;0;2759949
1005397884;Task-99;Device-0;POLICY1_IOT;TASK_CANCELED;149450;0;20966693;0;4312899
1011226219;Task-96;Device-1;POLICY1_IOT;TASK_CONCLUDED;91208;0;12795791;0;2632124
1021766816;Task-98;Device-1;POLICY1_IOT;TASK_CONCLUDED;75133;0;10540597;0;2168226
1034747790;Task-101;Device-0;POLICY1_IOT;TASK_CONCLUDED;209206;0;29349906;0;6037346
1037410781;Task-100;Device-1;POLICY1_IOT;TASK_CONCLUDED;111510;0;15643965;0;3218001
1051626632;Task-103;Device-0;POLICY1_IOT;TASK_CONCLUDED;120312;0;16878842;0;3472018
1065500802;Task-102;Device-1;POLICY1_IOT;TASK_CONCLUDED;200225;0;28090021;0;5778184
1075781918;Task-104;Device-1;POLICY1_IOT;TASK_CONCLUDED;73283;0;10281116;0;2114850
1077818514;Task-105;Device-0;POLICY1_IOT;TASK_CONCLUDED;186695;0;26191882;0;5387732
1096211804;Task-106;Device-1;POLICY1_IOT;TASK_CONCLUDED;145624;0;20429886;0;4202476
1104521625;Task-107;Device-0;POLICY1_IOT;TASK_CONCLUDED;190339;0;26703111;0;5492894
1117881036;Task-108;Device-1;POLICY1_IOT;TASK_CONCLUDED;154458;0;21669232;0;4457413
1128286546;Task-109;Device-0;POLICY1_IOT;TASK_CANCELED;169396;0;23764921;0;4888501
1139008680;Task-110;Device-1;POLICY1_IOT;TASK_CONCLUDED;150597;0;21127644;0;4346007
1140601548;Task-111;Device-0;POLICY1_IOT;TASK_CONCLUDED;87781;0;12315002;0;2533225
1160778852;Task-112;Device-1;POLICY1_IOT;TASK_CONCLUDED;155177;0;21770172;0;4478176
1168504393;Task-113;Device-0;POLICY1_IOT;TASK_CONCLUDED;198891;0;27902845;0;5739682
1183308355;Task-114;Device-1;POLICY1_IOT;TASK_CONCLUDED;160590;0;22529503;0;4634372
1186156012;Task-115;Device-0;POLICY1_IOT;TASK_CONCLUDED;125820;0;17651619;0;3630980
1211380856;Task-116;Device-1;POLICY1_IOT;TASK_CONCLUDED;200100;0;28072501;0;5774580
1212830004;Task-117;Device-0;POLICY1_IOT;TASK_CONCLUDED;190132;0;26673992;0;5486904
1226584728;Task-118;Device-1;POLICY1_IOT;TASK_CONCLUDED;108373;0;15203872;0;3127472
1242074728;Task-119;Device-0;POLICY1_IOT;TASK_CANCELED;208456;0;29244724;0;6015709
1244535451;Task-120;Device-1;POLICY1_IOT;TASK_CONCLUDED;127952;0;17950723;0;3692506
1259698751;Task-122;Device-1;POLICY1_IOT;TASK_CONCLUDED;108084;0;15163300;0;3119127
1263545422;Task-121;Device-0;POLICY1_IOT;TASK_CONCLUDED;153043;0;21470694;0;4416573
1282882420;Task-124;Device-1;POLICY1_IOT;TASK_CONCLUDED;165253;0;23183669;0;4768936
1289980333;Task-123;Device-0;POLICY1_IOT;TASK_CONCLUDED;188428;0;26434911;0;5437724
1302646367;Task-126;Device-1;POLICY1_IOT;TASK_CONCLUDED;140877;0;19763947;0;4065491
1312262468;Task-125;Device-0;POLICY1_IOT;TASK_CONCLUDED;158827;0;22282135;0;4583488
1327405999;Task-128;Device-1;POLICY1_IOT;TASK_CONCLUDED;176486;0;24759632;0;5093115
1329491880;Task-127;Device-0;POLICY1_IOT;TASK_CONCLUDED;122811;0;17229412;0;3544131
1344200941;Task-130;Device-1;POLICY1_IOT;TASK_CONCLUDED;119714;0;16794942;0;3454759
1356599109;Task-129;Device-0;POLICY1_IOT;TASK_CANCELED;193220;0;27107229;0;5576022
1368722505;Task-132;Device-1;POLICY1_IOT;TASK_CONCLUDED;174789;0;24521564;0;5044144
1381759706;Task-131;Device-0;POLICY1_IOT;TASK_CONCLUDED;179344;0;25160597;0;5175595
1394230703;Task-134;Device-1;POLICY1_IOT;TASK_CONCLUDED;181822;0;25508198;0;5247097
1401930950;Task-133;Device-0;POLICY1_IOT;TASK_CONCLUDED;143780;0;20171244;0;4149273
1419452695;Task-135;Device-0;POLICY1_IOT;TASK_CONCLUDED;124894;0;17521745;0;3604264
1421487186;Task-136;Device-1;POLICY1_IOT;TASK_CONCLUDED;194284;0;27256483;0;5606723
1434689801;Task-138;Device-1;POLICY1_IOT;TASK_CONCLUDED;94108;0;13202615;0;2715809
1443394561;Task-137;Device-0;POLICY1_IOT;TASK_CONCLUDED;170657;0;23941866;0;4924899
1459198792;Task-140;Device-1;POLICY1_IOT;TASK_CONCLUDED;174700;0;24508991;0;5041558
1469395778;Task-139;Device-0;POLICY1_IOT;TASK_CANCELED;185336;0;26001217;0;5348512
1485663610;Task-142;Device-1;POLICY1_IOT;TASK_CONCLUDED;188641;0;26464818;0;5443876
