# Total ETC (Gibbs Best OBJ): 12.110104710136028
Time;Task-ID;Device;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
139888613;Task-1;Device-1;POLICY1_IOT;TASK_CONCLUDED;996583;0;139812459;0;28759758
148267823;Task-0;Device-0;POLICY1_IOT;TASK_CONCLUDED;1056634;0;148237099;0;30492727
202533526;Task-3;Device-1;POLICY1_IOT;TASK_CONCLUDED;446532;0;62644913;0;12886208
216924519;Task-2;Device-0;POLICY1_IOT;TASK_CONCLUDED;489384;0;68656696;0;14122847
353378819;Task-4;Device-0;POLICY1_IOT;TASK_CONCLUDED;972646;0;136454300;0;28068977
384174256;Task-5;Device-1;POLICY1_IOT;TASK_CONCLUDED;1294735;0;181640730;0;37363934
433447572;Task-6;Device-0;POLICY1_IOT;TASK_CONCLUDED;570730;0;80068753;0;16470334
446566389;Task-7;Device-1;POLICY1_IOT;TASK_CONCLUDED;444731;0;62392133;0;12834211
531541751;Task-8;Device-0;POLICY1_IOT;TASK_CONCLUDED;699215;0;98094179;0;20178208
605317726;Task-9;Device-1;POLICY1_IOT;TASK_CANCELED;1131579;0;158751337;0;32655531
698251011;Task-11;Device-1;POLICY1_IOT;TASK_CONCLUDED;662428;0;92933285;0;19116599
716214029;Task-10;Device-0;POLICY1_IOT;TASK_CONCLUDED;1316343;0;184672278;0;37987530
781698717;Task-13;Device-1;POLICY1_IOT;TASK_CONCLUDED;594815;0;83447706;0;17165393
868696203;Task-12;Device-0;POLICY1_IOT;TASK_CONCLUDED;1086892;0;152482174;0;31365949
904625200;Task-15;Device-1;POLICY1_IOT;TASK_CONCLUDED;876219;0;122926483;0;25286272
912398113;Task-14;Device-0;POLICY1_IOT;TASK_CONCLUDED;311507;0;43701910;0;8989587
962253951;Task-16;Device-0;POLICY1_IOT;TASK_CONCLUDED;355372;0;49855838;0;10255465
1004975359;Task-18;Device-0;POLICY1_IOT;TASK_CONCLUDED;304518;0;42721408;0;8787896
1071558715;Task-17;Device-1;POLICY1_IOT;TASK_CONCLUDED;1189902;0;166933515;0;34338624
1157718636;Task-20;Device-0;POLICY1_IOT;TASK_CONCLUDED;1088754;0;152743277;0;31419658
1193169917;Task-19;Device-1;POLICY1_IOT;TASK_CANCELED;866844;0;121611202;0;25015716
1277923364;Task-22;Device-0;POLICY1_IOT;TASK_CONCLUDED;856819;0;120204728;0;24726401
1293892829;Task-24;Device-0;POLICY1_IOT;TASK_CONCLUDED;113830;0;15969465;0;3284957
1311667583;Task-21;Device-1;POLICY1_IOT;TASK_CONCLUDED;844651;0;118497666;0;24375254
1459274245;Task-26;Device-0;POLICY1_IOT;TASK_CONCLUDED;1178838;0;165381416;0;34019354
1464644473;Task-23;Device-1;POLICY1_IOT;TASK_CONCLUDED;1090419;0;152976890;0;31467713
1654341024;Task-28;Device-0;POLICY1_IOT;TASK_CONCLUDED;1390436;0;195066779;0;40125704
1755650182;Task-30;Device-0;POLICY1_IOT;TASK_CONCLUDED;722131;0;101309158;0;20839536
1946123607;Task-32;Device-0;POLICY1_IOT;TASK_CONCLUDED;1357694;0;190473425;0;39180840
2077086071;Task-34;Device-0;POLICY1_IOT;TASK_CONCLUDED;933500;0;130962464;0;26939293
2155534497;Task-36;Device-0;POLICY1_IOT;TASK_CONCLUDED;559180;0;78448426;0;16137029
2252424744;Task-38;Device-0;POLICY1_IOT;TASK_CONCLUDED;690633;0;96890247;0;19930556
2351539022;Task-40;Device-0;POLICY1_IOT;TASK_CONCLUDED;706486;0;99114278;0;20388044
2390235017;Task-42;Device-0;POLICY1_IOT;TASK_CONCLUDED;275825;0;38695995;0;7959859
2487693227;Task-44;Device-0;POLICY1_IOT;TASK_CONCLUDED;694682;0;97458210;0;20047387
2534926426;Task-46;Device-0;POLICY1_IOT;TASK_CONCLUDED;336678;0;47233199;0;9715982
2709406917;Task-48;Device-0;POLICY1_IOT;TASK_CONCLUDED;1243696;0;174480491;0;35891055
2787411701;Task-25;Device-1;POLICY1_IOT;TASK_CONCLUDED;556018;0;78004784;0;16045771
2876772334;Task-27;Device-1;POLICY1_IOT;TASK_CONCLUDED;636962;0;89360633;0;18381696
3022319522;Task-29;Device-1;POLICY1_IOT;TASK_CANCELED;1037460;0;145547188;0;29939405
3087734255;Task-31;Device-1;POLICY1_IOT;TASK_CONCLUDED;466276;0;65414733;0;13455967
3253627701;Task-33;Device-1;POLICY1_IOT;TASK_CONCLUDED;1182488;0;165893446;0;34124679
3333760784;Task-35;Device-1;POLICY1_IOT;TASK_CONCLUDED;571188;0;80133083;0;16483567
3426346390;Task-37;Device-1;POLICY1_IOT;TASK_CONCLUDED;659950;0;92585606;0;19045081
3526157189;Task-39;Device-1;POLICY1_IOT;TASK_CANCELED;711451;0;99810799;0;20531320
3693348449;Task-41;Device-1;POLICY1_IOT;TASK_CONCLUDED;1191739;0;167191260;0;34391643
3861783033;Task-43;Device-1;POLICY1_IOT;TASK_CONCLUDED;1200601;0;168434584;0;34647398
3925091711;Task-45;Device-1;POLICY1_IOT;TASK_CONCLUDED;451264;0;63308678;0;13022747
3969153664;Task-47;Device-1;POLICY1_IOT;TASK_CONCLUDED;314073;0;44061953;0;9063649
4071605889;Task-49;Device-1;POLICY1_IOT;TASK_CANCELED;730279;0;102452225;0;21074668
