Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
193496;POLICY2_MEC;TASK_CONCLUDED;14601;758468;15890;173003;656234
222894;POLICY2_MEC;TASK_CONCLUDED;15575;809052;16950;184541;700000
229270;POLICY2_MEC;TASK_CONCLUDED;16877;876733;18368;199979;758558
260959;POLICY2_MEC;TASK_CONCLUDED;19715;1024111;21456;233595;886071
265932;POLICY2_MEC;TASK_CONCLUDED;20339;1056550;22136;240994;914138
267264;POLICY2_MEC;TASK_CONCLUDED;44324;1088249;11400;248225;957983
311853;POLICY2_MEC;TASK_CONCLUDED;23155;1202800;25200;274353;1040675
312371;POLICY2_MEC;TASK_CONCLUDED;23893;1241138;26003;283098;1073845
314529;POLICY2_MEC;TASK_CONCLUDED;22667;1177464;24669;268574;1018754
343641;POLICY2_MEC;TASK_CONCLUDED;26198;1360856;28512;310405;1177427
392627;POLICY2_MEC;TASK_CONCLUDED;29980;1557332;32628;355221;1347420
415693;POLICY2_MEC;TASK_CONCLUDED;30539;1586353;33236;361840;1372529
423275;POLICY2_MEC;TASK_CONCLUDED;14877;772829;16191;176279;668660
426711;POLICY2_MEC;TASK_CONCLUDED;31926;1658406;34746;378275;1434870
432047;POLICY2_MEC;TASK_CONCLUDED;32429;1684545;35294;384238;1457486
436652;POLICY3_CLOUD;TASK_CONCLUDED;51304;1209627;3704;301122;1069710
441981;POLICY3_CLOUD;TASK_CONCLUDED;51102;1204873;3689;299939;1065506
442134;POLICY2_MEC;TASK_CONCLUDED;37407;918448;9621;209494;808508
449486;POLICY2_MEC;TASK_CONCLUDED;34342;1783873;37375;406894;1543426
451941;POLICY2_MEC;TASK_CONCLUDED;73228;1797877;18834;410088;1582669
458458;POLICY3_CLOUD;TASK_CONCLUDED;52899;1247240;3819;310485;1102972
462241;POLICY2_MEC;TASK_CONCLUDED;35188;1827826;38296;416919;1581455
464205;POLICY2_MEC;TASK_CONCLUDED;34819;1808640;37894;412543;1564855
465205;POLICY2_MEC;TASK_CONCLUDED;35456;1841747;38588;420095;1593499
470381;POLICY3_CLOUD;TASK_CONCLUDED;88854;1664483;3659;414353;1486272
473813;POLICY3_CLOUD;TASK_CONCLUDED;68326;1279958;2814;318630;1142917
481054;POLICY2_MEC;TASK_CONCLUDED;36309;1886071;39516;430205;1631848
483054;POLICY3_CLOUD;TASK_CONCLUDED;59286;1397813;4280;347969;1236130
484798;POLICY3_CLOUD;TASK_CONCLUDED;59881;1411847;4323;351462;1248540
488117;POLICY3_CLOUD;TASK_CONCLUDED;87686;1642598;3611;408905;1466731
490863;POLICY3_CLOUD;TASK_CONCLUDED;49803;1174239;3595;292313;1038415
492265;POLICY3_CLOUD;TASK_CONCLUDED;58507;1379459;4224;343400;1219898
500379;POLICY3_CLOUD;TASK_CONCLUDED;58043;1368517;4190;340676;1210222
503718;POLICY3_CLOUD;TASK_CONCLUDED;61393;1447492;4432;360336;1280062
503759;POLICY2_MEC;TASK_CONCLUDED;18752;974093;20408;222186;842795
506313;POLICY3_CLOUD;TASK_CONCLUDED;62260;1467941;4495;365426;1298146
516856;POLICY3_CLOUD;TASK_CONCLUDED;96641;1810332;3980;450661;1616507
524238;POLICY3_CLOUD;TASK_CONCLUDED;50321;1186456;3633;295354;1049219
538900;POLICY3_CLOUD;TASK_CONCLUDED;69041;1627796;4984;405220;1439511
541219;POLICY2_MEC;TASK_CONCLUDED;21147;1098493;23015;250561;950428
543238;POLICY2_MEC;TASK_CONCLUDED;17834;926427;19409;211314;801554
555525;POLICY3_CLOUD;TASK_CONCLUDED;56367;1329000;4069;330839;1175276
556179;POLICY2_MEC;TASK_CONCLUDED;22416;1164405;24396;265596;1007456
564611;POLICY3_CLOUD;TASK_CONCLUDED;53741;1267095;3880;315428;1120531
570862;POLICY3_CLOUD;TASK_CONCLUDED;63423;1495362;4579;372252;1322395
