Time;Task-ID;Device;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
11862472;Task-24;Device-1;POLICY1_IOT;TASK_CONCLUDED;75758;0;10628364;0;2186279
14146165;Task-71;Device-0;POLICY1_IOT;TASK_CONCLUDED;75173;0;10546283;0;2169395
14281677;Task-14;Device-1;POLICY1_IOT;TASK_CONCLUDED;96567;0;13547569;0;2786767
14363798;Task-72;Device-1;POLICY1_IOT;TASK_CONCLUDED;76481;0;10729690;0;2207122
14378466;Task-18;Device-1;POLICY1_IOT;TASK_CONCLUDED;95831;0;13444358;0;2765536
15029459;Task-16;Device-1;POLICY1_IOT;TASK_CONCLUDED;101184;0;14195351;0;2920017
15154739;Task-42;Device-1;POLICY1_IOT;TASK_CONCLUDED;92811;0;13020631;0;2678375
15474705;Task-98;Device-1;POLICY1_IOT;TASK_CONCLUDED;75133;0;10540597;0;2168226
15515224;Task-104;Device-1;POLICY1_IOT;TASK_CONCLUDED;73283;0;10281116;0;2114850
15741451;Task-3;Device-0;POLICY1_IOT;TASK_CONCLUDED;110780;0;15541569;0;3196938
15741584;Task-83;Device-0;POLICY1_IOT;TASK_CONCLUDED;82269;0;11541702;0;2374155
15914843;Task-7;Device-0;POLICY1_IOT;TASK_CONCLUDED;110590;0;15514961;0;3191464
15985350;Task-47;Device-0;POLICY1_IOT;TASK_CONCLUDED;96837;0;13585468;0;2794563
16025038;Task-69;Device-0;POLICY1_IOT;TASK_CANCELED;89279;0;12525156;0;2576454
16253392;Task-46;Device-1;POLICY1_IOT;TASK_CONCLUDED;99216;0;13919284;0;2863230
16308497;Task-2;Device-1;POLICY1_IOT;TASK_CONCLUDED;115291;0;16174389;0;3327110
16563126;Task-92;Device-1;POLICY1_IOT;TASK_CONCLUDED;85030;0;11929018;0;2453827
16758818;Task-97;Device-0;POLICY1_IOT;TASK_CONCLUDED;84530;0;11858936;0;2439411
17057049;Task-62;Device-1;POLICY1_IOT;TASK_CONCLUDED;99242;0;13922941;0;2863982
17433011;Task-31;Device-0;POLICY1_IOT;TASK_CONCLUDED;112858;0;15833129;0;3256912
17629899;Task-96;Device-1;POLICY1_IOT;TASK_CONCLUDED;91208;0;12795791;0;2632124
17709766;Task-6;Device-1;POLICY1_IOT;TASK_CONCLUDED;123853;0;17375658;0;3574214
17911321;Task-45;Device-0;POLICY1_IOT;TASK_CONCLUDED;111278;0;15611439;0;3211310
17914884;Task-111;Device-0;POLICY1_IOT;TASK_CONCLUDED;87781;0;12315002;0;2533225
18039040;Task-154;Device-1;POLICY1_IOT;TASK_CONCLUDED;73453;0;10304932;0;2119749
18151302;Task-94;Device-1;POLICY1_IOT;TASK_CONCLUDED;95637;0;13417194;0;2759949
18431219;Task-13;Device-0;POLICY1_IOT;TASK_CONCLUDED;126388;0;17731337;0;3647378
18458280;Task-25;Device-0;POLICY1_IOT;TASK_CONCLUDED;122305;0;17158398;0;3529523
19006451;Task-53;Device-0;POLICY1_IOT;TASK_CONCLUDED;116233;0;16306569;0;3354300
19039205;Task-36;Device-1;POLICY1_IOT;TASK_CONCLUDED;122637;0;17205097;0;3539129
19182311;Task-35;Device-0;POLICY1_IOT;TASK_CONCLUDED;123901;0;17382429;0;3575607
19248016;Task-163;Device-0;POLICY1_IOT;TASK_CONCLUDED;78751;0;11048134;0;2272627
19329701;Task-11;Device-0;POLICY1_IOT;TASK_CONCLUDED;133506;0;18729819;0;3852768
19445691;Task-66;Device-1;POLICY1_IOT;TASK_CONCLUDED;114843;0;16111583;0;3314191
19707179;Task-8;Device-1;POLICY1_IOT;TASK_CONCLUDED;137378;0;19273071;0;3964516
19753632;Task-27;Device-0;POLICY1_IOT;TASK_CONCLUDED;130825;0;18353750;0;3775410
19857849;Task-155;Device-0;POLICY1_IOT;TASK_CONCLUDED;85949;0;12057967;0;2480352
19876328;Task-85;Device-0;POLICY1_IOT;TASK_CONCLUDED;111028;0;15576446;0;3204112
19882415;Task-145;Device-0;POLICY1_IOT;TASK_CONCLUDED;89688;0;12582533;0;2588257
19911245;Task-156;Device-1;POLICY1_IOT;TASK_CONCLUDED;86085;0;12077137;0;2484296
20136723;Task-138;Device-1;POLICY1_IOT;TASK_CONCLUDED;94108;0;13202615;0;2715809
20220127;Task-55;Device-0;POLICY1_IOT;TASK_CONCLUDED;124171;0;17420245;0;3583386
20487069;Task-59;Device-0;POLICY1_IOT;TASK_CANCELED;124648;0;17487187;0;3597156
20488342;Task-148;Device-1;POLICY1_IOT;TASK_CONCLUDED;93050;0;13054234;0;2685287
20593103;Task-37;Device-0;POLICY1_IOT;TASK_CONCLUDED;133245;0;18693221;0;3845240
20678073;Task-100;Device-1;POLICY1_IOT;TASK_CONCLUDED;111510;0;15643965;0;3218001
20837057;Task-90;Device-1;POLICY1_IOT;TASK_CONCLUDED;116207;0;16302949;0;3353555
20953542;Task-50;Device-1;POLICY1_IOT;TASK_CONCLUDED;131293;0;18419434;0;3788921
21080449;Task-38;Device-1;POLICY1_IOT;TASK_CONCLUDED;136475;0;19146341;0;3938448
21137980;Task-118;Device-1;POLICY1_IOT;TASK_CONCLUDED;108373;0;15203872;0;3127472
21145598;Task-30;Device-1;POLICY1_IOT;TASK_CONCLUDED;139790;0;19611490;0;4034130
21146366;Task-89;Device-0;POLICY1_IOT;TASK_CANCELED;118656;0;16646484;0;3424221
21297408;Task-122;Device-1;POLICY1_IOT;TASK_CONCLUDED;108084;0;15163300;0;3119127
21364394;Task-157;Device-0;POLICY1_IOT;TASK_CONCLUDED;95975;0;13464512;0;2769682
21414558;Task-40;Device-1;POLICY1_IOT;TASK_CONCLUDED;138143;0;19380450;0;3986605
21440235;Task-44;Device-1;POLICY1_IOT;TASK_CONCLUDED;136901;0;19206127;0;3950746
21450527;Task-179;Device-0;POLICY1_IOT;TASK_CANCELED;88748;0;12450645;0;2561127
21453650;Task-39;Device-0;POLICY1_IOT;TASK_CANCELED;138666;0;19453768;0;4001686
21471275;Task-190;Device-1;POLICY1_IOT;TASK_CONCLUDED;85088;0;11937167;0;2455503
21494161;Task-199;Device-0;POLICY1_IOT;TASK_CANCELED;81931;0;11494279;0;2364400
21554036;Task-214;Device-1;POLICY1_IOT;TASK_CONCLUDED;77124;0;10819928;0;2225685
21592098;Task-77;Device-0;POLICY1_IOT;TASK_CONCLUDED;126110;0;17692216;0;3639331
21623225;Task-165;Device-0;POLICY1_IOT;TASK_CONCLUDED;94968;0;13323343;0;2740643
21715207;Task-75;Device-0;POLICY1_IOT;TASK_CONCLUDED;127700;0;17915325;0;3685225
21876604;Task-87;Device-0;POLICY1_IOT;TASK_CONCLUDED;124574;0;17476722;0;3595003
22078724;Task-103;Device-0;POLICY1_IOT;TASK_CONCLUDED;120312;0;16878842;0;3472018
22231695;Task-49;Device-0;POLICY1_IOT;TASK_CANCELED;140648;0;19731813;0;4058881
22520688;Task-21;Device-0;POLICY1_IOT;TASK_CONCLUDED;152687;0;21420806;0;4406311
22567867;Task-65;Device-0;POLICY1_IOT;TASK_CONCLUDED;137342;0;19267985;0;3963470
22686880;Task-15;Device-0;POLICY1_IOT;TASK_CONCLUDED;156010;0;21886998;0;4502208
22734605;Task-22;Device-1;POLICY1_IOT;TASK_CONCLUDED;153968;0;21600497;0;4443274
22748429;Task-19;Device-0;POLICY1_IOT;TASK_CANCELED;155023;0;21748547;0;4473728
22955334;Task-194;Device-1;POLICY1_IOT;TASK_CONCLUDED;94240;0;13221226;0;2719637
23060299;Task-88;Device-1;POLICY1_IOT;TASK_CONCLUDED;132767;0;18626191;0;3831452
23329050;Task-130;Device-1;POLICY1_IOT;TASK_CONCLUDED;119714;0;16794942;0;3454759
23376759;Task-73;Device-0;POLICY1_IOT;TASK_CONCLUDED;140256;0;19676877;0;4047580
23451501;Task-115;Device-0;POLICY1_IOT;TASK_CONCLUDED;125820;0;17651619;0;3630980
23454600;Task-91;Device-0;POLICY1_IOT;TASK_CONCLUDED;134396;0;18854718;0;3878460
23480645;Task-70;Device-1;POLICY1_IOT;TASK_CONCLUDED;142178;0;19946537;0;4103050
23545087;Task-4;Device-1;POLICY1_IOT;TASK_CONCLUDED;166160;0;23310979;0;4795124
23617146;Task-201;Device-0;POLICY1_IOT;TASK_CONCLUDED;96351;0;13517264;0;2780533
