# Total ETC (Gibbs Best OBJ): 10.952469877249403
Time;Task-ID;Device;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
139892892;Task-1;Device-0;POLICY1_IOT;TASK_CONCLUDED;996583;0;139812459;0;28759758
148298690;Task-0;Device-1;POLICY1_IOT;TASK_CONCLUDED;1056634;0;148237099;0;30492727
202537805;Task-3;Device-0;POLICY1_IOT;TASK_CONCLUDED;446532;0;62644913;0;12886208
216955386;Task-2;Device-1;POLICY1_IOT;TASK_CONCLUDED;489384;0;68656696;0;14122847
353409686;Task-4;Device-1;POLICY1_IOT;TASK_CONCLUDED;972646;0;136454300;0;28068977
384178535;Task-5;Device-0;POLICY1_IOT;TASK_CONCLUDED;1294735;0;181640730;0;37363934
433478439;Task-6;Device-1;POLICY1_IOT;TASK_CONCLUDED;570730;0;80068753;0;16470334
446570668;Task-7;Device-0;POLICY1_IOT;TASK_CONCLUDED;444731;0;62392133;0;12834211
531572618;Task-8;Device-1;POLICY1_IOT;TASK_CONCLUDED;699215;0;98094179;0;20178208
605322005;Task-9;Device-0;POLICY1_IOT;TASK_CANCELED;1131579;0;158751337;0;32655531
698255290;Task-11;Device-0;POLICY1_IOT;TASK_CONCLUDED;662428;0;92933285;0;19116599
716244896;Task-10;Device-1;POLICY1_IOT;TASK_CONCLUDED;1316343;0;184672278;0;37987530
778394369;Task-13;Device-0;POLICY2_MEC;TASK_CONCLUDED;96131;309133760;139079;80000000;263411729
778599246;Task-15;Device-0;POLICY2_MEC;TASK_CONCLUDED;141611;0;204877;0;154264
778877468;Task-17;Device-0;POLICY2_MEC;TASK_CONCLUDED;192307;0;278222;0;209490
779080153;Task-19;Device-0;POLICY2_MEC;TASK_CONCLUDED;140096;0;202685;0;152613
779277649;Task-21;Device-0;POLICY2_MEC;TASK_CONCLUDED;136509;0;197496;0;148706
779532610;Task-23;Device-0;POLICY2_MEC;TASK_CONCLUDED;176229;0;254961;0;191975
779662617;Task-25;Device-0;POLICY2_MEC;TASK_CONCLUDED;89861;0;130007;0;97890
779811551;Task-27;Device-0;POLICY2_MEC;TASK_CONCLUDED;102943;0;148934;0;112141
780054129;Task-29;Device-0;POLICY2_MEC;TASK_CONCLUDED;167670;0;242578;0;182651
780163153;Task-31;Device-0;POLICY2_MEC;TASK_CONCLUDED;75357;0;109024;0;82091
780439642;Task-33;Device-0;POLICY2_MEC;TASK_CONCLUDED;191109;0;276489;0;208185
780573197;Task-35;Device-0;POLICY2_MEC;TASK_CONCLUDED;92313;0;133555;0;100561
780727506;Task-37;Device-0;POLICY2_MEC;TASK_CONCLUDED;106658;0;154309;0;116188
780893857;Task-39;Device-0;POLICY2_MEC;TASK_CONCLUDED;114982;0;166351;0;125255
781172509;Task-41;Device-0;POLICY2_MEC;TASK_CONCLUDED;192604;0;278652;0;209813
781453233;Task-43;Device-0;POLICY2_MEC;TASK_CONCLUDED;194036;0;280724;0;211374
781558747;Task-45;Device-0;POLICY2_MEC;TASK_CONCLUDED;72931;0;105514;0;79448
781632183;Task-47;Device-0;POLICY2_MEC;TASK_CONCLUDED;50759;0;73436;0;55294
781802936;Task-49;Device-0;POLICY2_MEC;TASK_CONCLUDED;118024;0;170753;0;128570
868727070;Task-12;Device-1;POLICY1_IOT;TASK_CONCLUDED;1086892;0;152482174;0;31365949
912428980;Task-14;Device-1;POLICY1_IOT;TASK_CONCLUDED;311507;0;43701910;0;8989587
962284818;Task-16;Device-1;POLICY1_IOT;TASK_CONCLUDED;355372;0;49855838;0;10255465
1005006226;Task-18;Device-1;POLICY1_IOT;TASK_CONCLUDED;304518;0;42721408;0;8787896
1157749503;Task-20;Device-1;POLICY1_IOT;TASK_CONCLUDED;1088754;0;152743277;0;31419658
1277954231;Task-22;Device-1;POLICY1_IOT;TASK_CONCLUDED;856819;0;120204728;0;24726401
1293923696;Task-24;Device-1;POLICY1_IOT;TASK_CONCLUDED;113830;0;15969465;0;3284957
1459305112;Task-26;Device-1;POLICY1_IOT;TASK_CONCLUDED;1178838;0;165381416;0;34019354
1654371891;Task-28;Device-1;POLICY1_IOT;TASK_CONCLUDED;1390436;0;195066779;0;40125704
1755681049;Task-30;Device-1;POLICY1_IOT;TASK_CONCLUDED;722131;0;101309158;0;20839536
1946154474;Task-32;Device-1;POLICY1_IOT;TASK_CONCLUDED;1357694;0;190473425;0;39180840
2077116938;Task-34;Device-1;POLICY1_IOT;TASK_CONCLUDED;933500;0;130962464;0;26939293
2155565364;Task-36;Device-1;POLICY1_IOT;TASK_CONCLUDED;559180;0;78448426;0;16137029
2252455611;Task-38;Device-1;POLICY1_IOT;TASK_CONCLUDED;690633;0;96890247;0;19930556
2351569889;Task-40;Device-1;POLICY1_IOT;TASK_CONCLUDED;706486;0;99114278;0;20388044
2390265884;Task-42;Device-1;POLICY1_IOT;TASK_CONCLUDED;275825;0;38695995;0;7959859
2487724094;Task-44;Device-1;POLICY1_IOT;TASK_CONCLUDED;694682;0;97458210;0;20047387
2534957293;Task-46;Device-1;POLICY1_IOT;TASK_CONCLUDED;336678;0;47233199;0;9715982
2709437784;Task-48;Device-1;POLICY1_IOT;TASK_CONCLUDED;1243696;0;174480491;0;35891055
