Time;Task-ID;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
218334;Task-9;POLICY2_MEC;TASK_CONCLUDED;34591;849306;8897;193723;747642
253123;Task-79;POLICY2_MEC;TASK_CONCLUDED;28954;710896;7447;162152;625800
302134;Task-49;POLICY2_MEC;TASK_CONCLUDED;42626;1046572;10963;238718;921295
307183;Task-104;POLICY2_MEC;TASK_CONCLUDED;15353;797533;16709;181914;690033
309992;Task-128;POLICY2_MEC;TASK_CONCLUDED;13560;704434;14758;160678;609483
310278;Task-121;POLICY2_MEC;TASK_CONCLUDED;14319;743841;15584;169667;643578
323910;Task-108;POLICY2_MEC;TASK_CONCLUDED;16256;844446;17692;192614;730623
333165;Task-111;POLICY2_MEC;TASK_CONCLUDED;16741;869623;18219;198357;752406
333529;Task-116;POLICY2_MEC;TASK_CONCLUDED;16510;857659;17969;195628;742055
343933;Task-101;POLICY2_MEC;TASK_CONCLUDED;18810;977124;20472;222878;845417
356937;Task-107;POLICY2_MEC;TASK_CONCLUDED;18826;977934;20489;223062;846119
365273;Task-127;POLICY2_MEC;TASK_CONCLUDED;17909;930327;19491;212203;804928
368920;Task-110;POLICY2_MEC;TASK_CONCLUDED;19546;1015344;21272;231595;878486
395902;Task-113;POLICY2_MEC;TASK_CONCLUDED;21527;1118240;23428;255066;967513
404822;Task-19;POLICY2_MEC;TASK_CONCLUDED;65313;1603557;16798;365765;1411609
411743;Task-100;POLICY2_MEC;TASK_CONCLUDED;24086;1251144;26213;285380;1082502
412667;Task-29;POLICY2_MEC;TASK_CONCLUDED;64374;1580498;16557;360505;1391310
415498;Task-99;POLICY2_MEC;TASK_CONCLUDED;53870;1322617;13855;301683;1164297
439114;Task-117;POLICY2_MEC;TASK_CONCLUDED;24592;1277431;26764;291376;1105246
440862;Task-112;POLICY2_MEC;TASK_CONCLUDED;25042;1300807;27254;296708;1125472
449064;Task-134;POLICY3_CLOUD;TASK_CONCLUDED;52128;1229057;3763;305959;1086893
453795;Task-123;POLICY2_MEC;TASK_CONCLUDED;25330;1315778;27567;300123;1138425
462899;Task-105;POLICY2_MEC;TASK_CONCLUDED;27262;1416139;29670;323015;1225258
469689;Task-152;POLICY3_CLOUD;TASK_CONCLUDED;52975;1249023;3824;310929;1104549
470513;Task-106;POLICY2_MEC;TASK_CONCLUDED;27659;1436733;30102;327713;1243077
474732;Task-178;POLICY3_CLOUD;TASK_CONCLUDED;49505;1167209;3574;290563;1032198
479076;Task-59;POLICY2_MEC;TASK_CONCLUDED;71801;1762843;18467;402097;1551828
487862;Task-124;POLICY2_MEC;TASK_CONCLUDED;27667;1437176;30111;327814;1243459
492951;Task-39;POLICY2_MEC;TASK_CONCLUDED;76935;1888887;19787;430847;1662785
495870;Task-89;POLICY2_MEC;TASK_CONCLUDED;68984;1693687;17742;386323;1490951
497891;Task-69;POLICY2_MEC;TASK_CONCLUDED;73042;1793312;18786;409047;1578650
508474;Task-129;POLICY2_MEC;TASK_CONCLUDED;63658;1562924;16373;356496;1375840
511399;Task-143;POLICY3_CLOUD;TASK_CONCLUDED;61815;1457452;4463;362815;1288870
514234;Task-114;POLICY2_MEC;TASK_CONCLUDED;30589;1588953;33291;362433;1374779
518719;Task-109;POLICY2_MEC;TASK_CONCLUDED;68803;1689243;17696;385309;1487038
520973;Task-305;POLICY2_MEC;TASK_CONCLUDED;16291;846266;17730;193029;732198
532857;Task-115;POLICY2_MEC;TASK_CONCLUDED;31939;1659076;34760;378428;1435450
533287;Task-122;POLICY2_MEC;TASK_CONCLUDED;31538;1638252;34324;373678;1417433
534476;Task-119;POLICY2_MEC;TASK_CONCLUDED;70376;1727856;18100;394117;1521029
538032;Task-302;POLICY2_MEC;TASK_CONCLUDED;18155;943077;19758;215112;815960
538143;Task-136;POLICY3_CLOUD;TASK_CONCLUDED;66939;1578249;4833;392886;1395695
554492;Task-126;POLICY2_MEC;TASK_CONCLUDED;32538;1690181;35412;385523;1462362
555654;Task-148;POLICY3_CLOUD;TASK_CONCLUDED;67901;1600913;4902;398528;1415737
558389;Task-102;POLICY2_MEC;TASK_CONCLUDED;35189;1827873;38297;416930;1581496
561421;Task-131;POLICY3_CLOUD;TASK_CONCLUDED;71460;1684822;5159;419416;1489941
567687;Task-271;POLICY3_CLOUD;TASK_CONCLUDED;49641;1170426;3584;291364;1035044
568724;Task-195;POLICY3_CLOUD;TASK_CONCLUDED;62617;1476337;4521;367516;1305570
569340;Task-142;POLICY3_CLOUD;TASK_CONCLUDED;71634;1688940;5172;420441;1493582
569881;Task-187;POLICY3_CLOUD;TASK_CONCLUDED;64202;1513710;4635;376820;1338621
575770;Task-120;POLICY2_MEC;TASK_CONCLUDED;34912;1813519;37996;413656;1569076
577966;Task-118;POLICY2_MEC;TASK_CONCLUDED;35305;1833887;38423;418302;1586698
578262;Task-103;POLICY2_MEC;TASK_CONCLUDED;36569;1899559;39799;433281;1643519
579686;Task-125;POLICY2_MEC;TASK_CONCLUDED;34552;1794795;37604;409385;1552876
579746;Task-218;POLICY3_CLOUD;TASK_CONCLUDED;60339;1422639;4356;354149;1258084
