Time;Task-ID;Device;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
236733268;Task-1;Device-1;POLICY1_IOT;TASK_CONCLUDED;1686803;0;236644694;0;48678381
245542056;Task-0;Device-0;POLICY1_IOT;TASK_CONCLUDED;1750014;0;245512736;0;50502559
392148966;Task-3;Device-1;POLICY1_IOT;TASK_CONCLUDED;1107803;0;155415698;0;31969382
407285947;Task-2;Device-0;POLICY1_IOT;TASK_CONCLUDED;1152910;0;161743891;0;33271106
640395737;Task-4;Device-0;POLICY1_IOT;TASK_CONCLUDED;1661606;0;233109790;0;47951243
672823418;Task-5;Device-1;POLICY1_IOT;TASK_CONCLUDED;2000647;0;280674452;0;57735408
814152319;Task-6;Device-0;POLICY1_IOT;TASK_CONCLUDED;1238536;0;173756582;0;35742145
827973031;Task-7;Device-1;POLICY1_IOT;TASK_CONCLUDED;1105906;0;155149613;0;31914647
1006883034;Task-8;Device-0;POLICY1_IOT;TASK_CONCLUDED;1373784;0;192730715;0;39645170
1084553386;Task-9;Device-1;POLICY1_IOT;TASK_CANCELED;1828904;0;256580355;0;52779194
1271851580;Task-11;Device-1;POLICY1_IOT;TASK_CONCLUDED;1335061;0;187298194;0;38527688
1290748590;Task-10;Device-0;POLICY1_IOT;TASK_CONCLUDED;2023393;0;283865556;0;58391826
1449164954;Task-13;Device-1;POLICY1_IOT;TASK_CONCLUDED;1263889;0;177313374;0;36473786
1540729826;Task-12;Device-0;POLICY1_IOT;TASK_CONCLUDED;1781866;0;249981236;0;51421740
1668034936;Task-15;Device-1;POLICY1_IOT;TASK_CONCLUDED;1560105;0;218869982;0;45022080
1676205521;Task-14;Device-0;POLICY1_IOT;TASK_CONCLUDED;965670;0;135475695;0;27867675
1818159034;Task-16;Device-0;POLICY1_IOT;TASK_CONCLUDED;1011844;0;141953513;0;29200178
1933228110;Task-17;Device-1;POLICY1_IOT;TASK_CONCLUDED;1890296;0;265193174;0;54550872
1952602621;Task-18;Device-0;POLICY1_IOT;TASK_CONCLUDED;958313;0;134443587;0;27655368
2150713586;Task-19;Device-1;POLICY1_IOT;TASK_CANCELED;1550236;0;217485476;0;44737284
2202858702;Task-20;Device-0;POLICY1_IOT;TASK_CONCLUDED;1783825;0;250256081;0;51478276
2364921655;Task-21;Device-1;POLICY1_IOT;TASK_CONCLUDED;1526875;0;214208069;0;44063113
2418863678;Task-22;Device-0;POLICY1_IOT;TASK_CONCLUDED;1539683;0;216004976;0;44432741
2419050179;Task-24;Device-0;POLICY2_MEC;TASK_CONCLUDED;122438;41048;177139;9362;168089
2419512647;Task-26;Device-0;POLICY2_MEC;TASK_CONCLUDED;303620;101725;439265;23203;416770
2420029945;Task-28;Device-0;POLICY2_MEC;TASK_CONCLUDED;339617;113781;491345;25953;466178
2420374071;Task-30;Device-0;POLICY2_MEC;TASK_CONCLUDED;225924;75705;326858;17268;310129
2420882884;Task-32;Device-0;POLICY2_MEC;TASK_CONCLUDED;334047;111915;483286;25527;458533
2421281779;Task-34;Device-0;POLICY2_MEC;TASK_CONCLUDED;261882;87747;378881;20014;359483
2421583680;Task-36;Device-0;POLICY2_MEC;TASK_CONCLUDED;198202;66421;286751;15150;272079
2421919643;Task-38;Device-0;POLICY2_MEC;TASK_CONCLUDED;220565;73910;319105;16858;302774
2422259714;Task-40;Device-0;POLICY2_MEC;TASK_CONCLUDED;223262;74814;323007;17064;306475
2422488192;Task-42;Device-0;POLICY2_MEC;TASK_CONCLUDED;149997;50277;217010;11468;205915
2422825205;Task-44;Device-0;POLICY2_MEC;TASK_CONCLUDED;221254;74141;320102;16911;303719
2423069451;Task-46;Device-0;POLICY2_MEC;TASK_CONCLUDED;160350;53744;231988;12258;220125
2423548725;Task-48;Device-0;POLICY2_MEC;TASK_CONCLUDED;314654;105420;455228;24046;431914
2615423644;Task-23;Device-1;POLICY1_IOT;TASK_CONCLUDED;1785578;0;250501989;0;51528860
2787007627;Task-25;Device-1;POLICY1_IOT;TASK_CONCLUDED;1223050;0;171583983;0;35295237
2970545136;Task-27;Device-1;POLICY1_IOT;TASK_CONCLUDED;1308255;0;183537509;0;37754106
3213226387;Task-29;Device-1;POLICY1_IOT;TASK_CANCELED;1729831;0;242681251;0;49920115
3371557686;Task-31;Device-1;POLICY1_IOT;TASK_CONCLUDED;1128585;0;158331299;0;32569128
3635656050;Task-33;Device-1;POLICY1_IOT;TASK_CONCLUDED;1882493;0;264098364;0;54325667
3635961063;Task-35;Device-1;POLICY2_MEC;TASK_CONCLUDED;200245;67105;289707;15306;274883
3636289076;Task-37;Device-1;POLICY2_MEC;TASK_CONCLUDED;215345;72162;311553;16460;295609
3636630434;Task-39;Device-1;POLICY2_MEC;TASK_CONCLUDED;224107;75096;324229;17129;307635
3637096244;Task-41;Device-1;POLICY2_MEC;TASK_CONCLUDED;305815;102460;442440;23370;419782
3637564352;Task-43;Device-1;POLICY2_MEC;TASK_CONCLUDED;307322;102965;444622;23486;421852
3637838290;Task-45;Device-1;POLICY2_MEC;TASK_CONCLUDED;179843;60273;260190;13748;246881
3638076679;Task-47;Device-1;POLICY2_MEC;TASK_CONCLUDED;156504;52456;226424;11965;214847
3638422915;Task-49;Device-1;POLICY2_MEC;TASK_CONCLUDED;227310;76169;328863;17373;312031
